MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368084090,2022-01-01T12:59:59,29.9673,-90.39822,0.0,277.3,3.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T13:13:30,29.9673,-90.39822,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T13:26:19,29.96731,-90.39822,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T13:34:21,29.96731,-90.39823,0.0,277.3,5.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T13:41:20,29.96729,-90.39824,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T13:48:21,29.96731,-90.39822,0.0,277.3,5.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T13:55:09,29.96728,-90.39826,0.0,277.3,5.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T14:08:19,29.96727,-90.39826,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T14:45:10,29.96731,-90.39819,0.0,277.3,3.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T14:51:00,29.96731,-90.39822,0.0,277.3,3.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T15:26:09,29.9673,-90.39824,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T16:19:00,29.9673,-90.39824,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T16:28:39,29.96734,-90.39812,0.0,277.3,359.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T16:34:20,29.96732,-90.39817,0.0,277.3,3.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T16:37:50,29.96731,-90.3982,0.0,277.3,3.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T16:43:30,29.96731,-90.39821,0.0,277.3,3.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T17:06:00,29.96729,-90.39821,0.0,277.3,3.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T17:12:49,29.9673,-90.3982,0.0,277.3,3.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T17:15:10,29.96732,-90.39817,0.0,277.3,2.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T17:21:50,29.96732,-90.39815,0.0,277.3,1.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T17:30:49,29.96731,-90.39819,0.0,277.3,3.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T17:40:50,29.96732,-90.39816,0.0,277.3,2.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T18:05:09,29.9673,-90.39821,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
